time noise chunk
1600953304 0.7 952t
1600953324 0.7 538T
1600953425 0.7 538T
1600953426 0.7 538T
1600953427 0.7 538T
1600953435 0.7 538T
1600953438 0.7 538T
1600953439 0.7 538T
1600953440 0.7 538T
1600953441 0.7 538T
1600953442 0.7 538T
1600953445 0.7 538T
1600953449 0.7 538T
1600953450 0.7 538T
1600953452 0.7 538T
1600953456 0.7 538T
1600953459 0.7 538T
1600953461 0.7 538T
1600953463 0.7 160T
1600953464 0.7 538T
1600953465 0.7 538T
1600953467 0.7 538T
1600953468 0.7 538T
1600953470 0.7 538T
1600953472 0.7 538T
1600953473 0.7 538T
1600953474 0.7 538T
1600953475 0.7 538T
1600953477 0.7 538T
1600953478 0.7 538T
1600953481 0.7 538T
1600953483 0.7 1171T
1600953486 0.7 538T
1600953489 0.7 538T
1600953492 0.7 538T
1600953494 0.7 538T
1600953497 0.7 538T
1600953501 0.7 538T
1600953504 0.7 1297T
1600953506 0.7 538T
1600953508 0.7 538T
1600953510 0.7 538T
1600953512 0.7 538T
1600953514 0.7 538T
1600953515 0.7 538T
1600953518 0.7 538T
1600953520 0.7 538T
1600953524 0.7 538T
1600953526 0.7 538T
1600953529 0.7 538T
1600953534 0.7 538T
1600953535 0.7 1056T
1600953538 0.7 538T
1600953541 0.7 538T
1600953542 0.7 538T
1600953545 0.7 538T
1600953546 0.7 538T
1600953548 0.7 538T
1600953550 0.7 538T
1600953552 0.7 538T
1600953554 0.7 538T
1600953557 0.7 538T
1600953558 0.7 538T
1600953560 0.7 538T
1600953563 0.7 538T
1600953566 0.7 820T
1600953568 0.7 538T
1600953571 0.7 538T
1600953572 0.7 538T
1600953574 0.7 369T
1600953576 0.7 538T
1600953578 0.7 538T
1600953579 0.7 538T
1600953581 0.7 538T
1600953582 0.7 538T
1600953585 0.7 1110T
1600953587 0.7 538T
1600953589 0.7 538T
1600953591 0.7 324T
1600953594 0.7 538T
1600953596 0.7 538T
1600953599 0.7 538T
1600953601 0.7 538T
1600953604 0.7 538T
1600953606 0.7 538T
1600953608 0.7 538T
1600953610 0.7 538T
1600953612 0.7 538T
1600953615 0.7 538T
1600953616 0.7 538T
1600953619 0.7 538T
1600953622 0.7 538T
1600953624 0.7 538T
1600953625 0.7 538T
1600953628 0.7 538T
1600953631 0.7 52T
1600953634 0.7 538T
1600953636 0.7 538T
1600953637 0.7 538T
1600953640 0.7 538T
1600953644 0.7 538T
1600953645 0.7 538T
1600953648 0.7 538T
1600953650 0.7 538T
1600953652 0.7 538T
1600953655 0.7 538T
1600953656 0.7 538T
1600953657 0.7 538T
1600953659 0.7 538T
1600953662 0.7 538T
1600953664 0.7 538T
1600953667 0.7 538T
1600953669 0.7 538T
1600953671 0.7 538T
1600953674 0.7 538T
1600953679 0.7 538T
1600953682 0.7 538T
1600953685 0.7 538T
1600953689 0.7 538T
1600953693 0.7 538T
1600953696 0.7 538T
1600953699 0.7 538T
1600953701 0.7 538T
1600953704 0.7 538T
1600953706 0.7 538T
1600953709 0.7 52T
1600953711 0.7 538T
1600953712 0.7 538T
1600953715 0.7 538T
1600953717 0.7 538T
1600953719 0.7 538T
1600953722 0.7 538T
1600953723 0.7 538T
1600953725 0.7 1193T
1600953728 0.7 538T
1600953731 0.7 538T
1600953735 0.7 538T
1600953739 0.7 538T
1600953742 0.7 538T
1600953744 0.7 538T
1600953746 0.7 538T
1600953747 0.7 538T
1600953749 0.7 538T
1600953751 0.7 538T
1600953755 0.7 538T
1600953757 0.7 538T
1600953761 0.7 538T
1600953764 0.7 538T
1600953766 0.7 538T
1600953768 0.7 538T
1600953769 0.7 538T
1600953772 0.7 538T
1600953775 0.7 538T
1600953779 0.7 538T
1600953783 0.7 538T
1600953785 0.7 538T
1600953789 0.7 538T
1600953792 0.7 538T
1600953794 0.7 538T
1600953797 0.7 538T
1600953800 0.7 538T
1600953804 0.7 538T
1600953807 0.7 538T
1600953812 0.7 538T
1600953815 0.7 538T
1600953818 0.7 538T
1600953821 0.7 123T
1600953823 0.7 538T
1600953825 0.7 538T
1600953827 0.7 538T
1600953829 0.7 538T
1600953832 0.7 538T
1600953835 0.7 538T
1600953837 0.7 538T
1600953839 0.7 538T
1600953841 0.7 538T
1600953843 0.7 538T
1600953844 0.7 538T
1600953846 0.7 538T
1600953848 0.7 538T
1600953850 0.7 538T
1600953853 0.7 538T
1600953855 0.7 538T
1600953857 0.7 538T
1600953859 0.7 538T
1600953860 0.7 538T
1600953861 0.7 538T
1600953863 0.7 538T
1600953868 0.7 538T
1600953872 0.7 538T
1600953874 0.7 538T
1600953876 0.7 538T
1600953879 0.7 538T
1600953882 0.7 538T
1600953884 0.7 538T
1600953884 0.7 538T
1600953887 0.7 538T
1600953889 0.7 538T
1600953890 0.7 538T
1600953893 0.7 538T
1600953895 0.7 538T
1600953898 0.7 538T
1600953899 0.7 538T
1600953901 0.7 538T
1600953903 0.7 538T
1600953906 0.7 538T
1600953910 0.7 538T
1600953914 0.7 538T
1600953916 0.7 538T
1600953918 0.7 538T
1600953922 0.7 538T
1600953924 0.7 538T
1600953925 0.7 538T
1600953927 0.7 52T
1600953929 0.7 538T
1600953931 0.7 538T
1600953934 0.7 538T
1600953937 0.7 538T
1600953939 0.7 538T
1600953942 0.7 538T
1600953943 0.7 538T
1600953947 0.7 538T
1600953948 0.7 538T
1600953950 0.7 538T
1600953952 0.7 538T
1600953953 0.7 538T
1600953955 0.7 538T
1600953956 0.7 538T
1600953957 0.7 538T
1600953959 0.7 538T
1600953961 0.7 538T
1600953963 0.7 538T
1600953965 0.7 538T
1600953966 0.7 538T
1600953967 0.7 538T
1600953970 0.7 538T
1600953973 0.7 538T
1600953977 0.7 538T
1600953979 0.7 538T
1600953981 0.7 538T
1600953982 0.7 538T
1600953984 0.7 538T
1600953986 0.7 650T
1600953989 0.7 538T
1600953991 0.7 538T
1600953993 0.7 538T
1600953995 0.7 538T
1600953998 0.7 538T
1600954000 0.7 538T
1600954003 0.7 538T
1600954005 0.7 538T
1600954008 0.7 538T
1600954009 0.7 538T
1600954013 0.7 538T
1600954017 0.7 538T
1600954019 0.7 538T
1600954020 0.7 538T
1600954022 0.7 538T
1600954025 0.7 538T
1600954027 0.7 538T
1600954029 0.7 538T
1600954032 0.7 538T
1600954034 0.7 538T
1600954037 0.7 538T
1600954039 0.7 538T
1600954044 0.7 538T
1600954049 0.7 538T
1600954054 0.7 538T
1600954058 0.7 538T
1600954060 0.7 538T
1600954062 0.7 538T
1600954063 0.7 538T
1600954066 0.7 793T
1600954069 0.7 538T
1600954071 0.7 538T
1600954074 0.7 538T
1600954077 0.7 538T
1600954079 0.7 538T
1600954082 0.7 538T
1600954084 0.7 538T
1600954087 0.7 538T
1600954090 0.7 538T
1600954092 0.7 538T
1600954094 0.7 538T
1600954096 0.7 538T
1600954100 0.7 538T
1600954104 0.7 538T
1600954105 0.7 538T
1600954107 0.7 538T
1600954109 0.7 538T
1600954110 0.7 538T
1600954111 0.7 538T
1600954113 0.7 538T
1600954115 0.7 538T
1600954119 0.7 538T
1600954121 0.7 538T
1600954123 0.7 538T
1600954124 0.7 538T
1600954126 0.7 538T
1600954129 0.7 538T
1600954130 0.7 538T
1600954133 0.7 538T
1600954136 0.7 538T
1600954139 0.7 538T
1600954140 0.7 375T
1600954143 0.7 538T
1600954145 0.7 538T
1600954147 0.7 538T
1600954148 0.7 538T
1600954150 0.7 538T
1600954152 0.7 538T
1600954154 0.7 538T
1600954156 0.7 538T
1600954158 0.7 538T
1600954160 0.7 538T
1600954161 0.7 52T
1600954162 0.7 538T
1600954164 0.7 538T
1600954166 0.7 538T
1600954168 0.7 538T
1600954169 0.7 538T
1600954171 0.7 538T
1600954173 0.7 538T
1600954175 0.7 538T
1600954179 0.7 538T
1600954182 0.7 538T
1600954186 0.7 538T
1600954189 0.7 538T
1600954191 0.7 538T
1600954194 0.7 1082T
1600954200 0.7 538T
1600954202 0.7 538T
1600954204 0.7 538T
1600954206 0.7 538T
1600954208 0.7 538T
1600954210 0.7 538T
1600954212 0.7 538T
1600954216 0.7 538T
1600954219 0.7 538T
1600954222 0.7 538T
1600954224 0.7 538T
1600954227 0.7 538T
1600954232 0.7 538T
1600954236 0.7 538T
1600954242 0.7 538T
1600954245 0.7 538T
1600954247 0.7 538T
1600954248 0.7 538T
